solver,config,frame,t,runout,max_h,ke
sph,sph,0,0.016667,0.100312,0.196293,0.213014
sph,sph,1,0.033333,0.103086,0.192456,0.536966
sph,sph,2,0.050000,0.108306,0.186670,1.076561
sph,sph,3,0.066667,0.115517,0.179593,1.895559
sph,sph,4,0.083333,0.122559,0.169792,2.611930
sph,sph,5,0.100000,0.134565,0.157928,3.237473
sph,sph,6,0.116667,0.148674,0.145050,3.802583
sph,sph,7,0.133333,0.163505,0.131843,3.950994
sph,sph,8,0.150000,0.178262,0.119943,3.761178
sph,sph,9,0.166667,0.193377,0.109935,3.560322
sph,sph,10,0.183333,0.210460,0.101267,3.190109
sph,sph,11,0.200000,0.225495,0.094381,2.738553
sph,sph,12,0.216667,0.240540,0.088812,2.393829
sph,sph,13,0.233333,0.255528,0.083656,2.030649
sph,sph,14,0.250000,0.270430,0.079234,1.677574
sph,sph,15,0.266667,0.284419,0.075362,1.390871
sph,sph,16,0.283333,0.297859,0.072021,1.108342
sph,sph,17,0.300000,0.310108,0.069162,0.866514
sph,sph,18,0.316667,0.321193,0.066616,0.654873
sph,sph,19,0.333333,0.330918,0.064437,0.475569
sph,sph,20,0.350000,0.339966,0.062571,0.327385
sph,sph,21,0.366667,0.348050,0.061027,0.207892
sph,sph,22,0.383333,0.354772,0.059753,0.119387
sph,sph,23,0.400000,0.360131,0.058746,0.059665
sph,sph,24,0.416667,0.364129,0.057963,0.023554
sph,sph,25,0.433333,0.366765,0.057365,0.005867
sph,sph,26,0.450000,0.368038,0.056927,0.000874
sph,sph,27,0.466667,0.368169,0.056656,0.000385
sph,sph,28,0.483333,0.368169,0.056483,0.000394
sph,sph,29,0.500000,0.368169,0.056240,0.000393
sph,sph,30,0.516667,0.368169,0.056023,0.000376
mpm,mpm-Q1-pic-pic,0,0.016667,0.101653,0.194901,0.144259
mpm,mpm-Q1-pic-pic,1,0.033333,0.105033,0.189801,0.539756
mpm,mpm-Q1-pic-pic,2,0.050000,0.110383,0.182235,1.165707
mpm,mpm-Q1-pic-pic,3,0.066667,0.116952,0.172415,1.971528
mpm,mpm-Q1-pic-pic,4,0.083333,0.125064,0.160519,2.823689
mpm,mpm-Q1-pic-pic,5,0.100000,0.134129,0.146726,3.622401
mpm,mpm-Q1-pic-pic,6,0.116667,0.143635,0.131580,4.208198
mpm,mpm-Q1-pic-pic,7,0.133333,0.153672,0.115696,4.475076
mpm,mpm-Q1-pic-pic,8,0.150000,0.164577,0.100201,4.338269
mpm,mpm-Q1-pic-pic,9,0.166667,0.176131,0.086590,3.798012
mpm,mpm-Q1-pic-pic,10,0.183333,0.186797,0.074732,3.083570
mpm,mpm-Q1-pic-pic,11,0.200000,0.197220,0.065406,2.377614
mpm,mpm-Q1-pic-pic,12,0.216667,0.207315,0.058756,1.764933
mpm,mpm-Q1-pic-pic,13,0.233333,0.216814,0.053464,1.327263
mpm,mpm-Q1-pic-pic,14,0.250000,0.225366,0.049086,0.936636
mpm,mpm-Q1-pic-pic,15,0.266667,0.233125,0.045832,0.626506
mpm,mpm-Q1-pic-pic,16,0.283333,0.239369,0.043652,0.396252
mpm,mpm-Q1-pic-pic,17,0.300000,0.244506,0.042133,0.231035
mpm,mpm-Q1-pic-pic,18,0.316667,0.248575,0.041272,0.121885
mpm,mpm-Q1-pic-pic,19,0.333333,0.251603,0.040845,0.054725
mpm,mpm-Q1-pic-pic,20,0.350000,0.253599,0.040689,0.018847
mpm,mpm-Q1-pic-pic,21,0.366667,0.254872,0.040673,0.003487
mpm,mpm-Q1-pic-pic,22,0.383333,0.255536,0.040677,0.000243
mpm,mpm-Q1-pic-pic,23,0.400000,0.255900,0.040680,0.000048
mpm,mpm-Q1-pic-pic,24,0.416667,0.256183,0.040681,0.000023
mpm,mpm-Q1-pic-pic,25,0.433333,0.256439,0.040682,0.000017
mpm,mpm-Q1-pic-pic,26,0.450000,0.256687,0.040683,0.000015
mpm,mpm-Q1-pic-pic,27,0.466667,0.256932,0.040684,0.000014
mpm,mpm-Q1-pic-pic,28,0.483333,0.257177,0.040684,0.000014
mpm,mpm-Q1-pic-pic,29,0.500000,0.257418,0.040685,0.000014
mpm,mpm-Q1-pic-pic,30,0.516667,0.257661,0.040686,0.000013
mpm,mpm-Q1-pic-apic,0,0.016667,0.101653,0.194901,0.144259
mpm,mpm-Q1-pic-apic,1,0.033333,0.105241,0.189795,0.547168
mpm,mpm-Q1-pic-apic,2,0.050000,0.110886,0.182216,1.195330
mpm,mpm-Q1-pic-apic,3,0.066667,0.118224,0.172352,2.051523
mpm,mpm-Q1-pic-apic,4,0.083333,0.127218,0.160367,2.965190
mpm,mpm-Q1-pic-apic,5,0.100000,0.136801,0.146459,3.827691
