solver,config,frames_emitted,final_t_s,final_runout_m,final_max_h_m,final_ke_J,wall_time_s,particle_count,crashed,error_tail
sph,sph,31,0.516667,0.362297,0.057032,0.000438,68.53,50265,0,
mpm,mpm-Q1-pic-pic,31,0.516667,0.247895,0.044112,0.000007,42.01,50265,0,
mpm,mpm-Q1-pic-apic,31,0.516667,0.255921,0.036541,0.000022,6.99,50265,0,
mpm,mpm-Q1-gimp-pic,31,0.516667,0.242948,0.047804,0.000008,8.85,50265,0,
mpm,mpm-Q1-gimp-apic,31,0.516667,0.251362,0.035275,0.000028,6.40,50265,0,
mpm,mpm-B2-pic-pic,31,0.516667,0.134242,0.002675,0.000000,32.59,50265,0,
mpm,mpm-B2-pic-apic,31,0.516667,0.135520,0.002677,0.000033,31.38,50265,0,
mpm,mpm-B2-gimp-pic,31,0.516667,0.134221,0.002691,0.000008,25.23,50265,0,
mpm,mpm-B2-gimp-apic,31,0.516667,0.135272,0.002690,0.000054,27.69,50265,0,
mpm,mpm-B2-gimp-apic-vs0.010,31,0.516667,0.135243,0.002724,0.000013,92.08,50265,0,
mpm,mpm-B2-gimp-apic-vs0.020,31,0.516667,0.135272,0.002690,0.000038,27.59,50265,0,
mpm,mpm-B2-gimp-apic-vs0.040,31,0.516667,0.137085,0.002386,0.000000,7.15,50265,0,
